Date,PX_LAST
12/31/2018,1.1459
12/28/2018,1.1444
12/27/2018,1.143
12/26/2018,1.1353
12/25/2018,1.1392
12/24/2018,1.1406
12/21/2018,1.1372
12/20/2018,1.1446
12/19/2018,1.1376
12/18/2018,1.1361
12/17/2018,1.1348
12/14/2018,1.1306
12/13/2018,1.1361
12/12/2018,1.1369
12/11/2018,1.1317
12/10/2018,1.1356
12/7/2018,1.1379
12/6/2018,1.1374
12/5/2018,1.1344
12/4/2018,1.1343
12/3/2018,1.1354
11/30/2018,1.1317
11/29/2018,1.1393
11/28/2018,1.1366
11/27/2018,1.1289
11/26/2018,1.1328
11/23/2018,1.1337
11/22/2018,1.1403
11/21/2018,1.1384
11/20/2018,1.137
11/19/2018,1.1454
11/16/2018,1.1415
11/15/2018,1.1328
11/14/2018,1.131
11/13/2018,1.129
11/12/2018,1.1218
11/9/2018,1.1336
11/8/2018,1.1363
11/7/2018,1.1426
11/6/2018,1.1427
11/5/2018,1.1407
11/2/2018,1.1388
11/1/2018,1.1408
10/31/2018,1.1312
10/30/2018,1.1345
10/29/2018,1.1373
10/26/2018,1.1403
10/25/2018,1.1375
10/24/2018,1.1392
10/23/2018,1.1471
10/22/2018,1.1464
10/19/2018,1.1514
10/18/2018,1.1453
10/17/2018,1.1501
10/16/2018,1.1574
10/15/2018,1.1579
10/12/2018,1.156
10/11/2018,1.1593
10/10/2018,1.152
10/9/2018,1.1491
10/8/2018,1.1492
10/5/2018,1.1524
10/4/2018,1.1514
10/3/2018,1.1478
10/2/2018,1.1548
10/1/2018,1.1578
9/28/2018,1.1604
9/27/2018,1.1641
9/26/2018,1.1739
9/25/2018,1.1767
9/24/2018,1.1748
9/21/2018,1.1749
9/20/2018,1.1777
9/19/2018,1.1673
9/18/2018,1.1667
9/17/2018,1.1683
9/14/2018,1.1625
9/13/2018,1.169
9/12/2018,1.1626
9/11/2018,1.1606
9/10/2018,1.1594
9/7/2018,1.1553
9/6/2018,1.1623
9/5/2018,1.163
9/4/2018,1.1582
