Date,PX_LAST,PX_VOLUME
12/31/2018,18.45,614678
12/28/2018,18.28,2042197
12/27/2018,17.97,1989782
12/26/2018,18.33,2632600
12/24/2018,17.65,2042836
12/21/2018,17.49,3319840
12/20/2018,18.49,5296064
12/19/2018,19.35,1410588
12/18/2018,19.97,2283394
12/17/2018,19.6,2384453
12/14/2018,20.83,2063431
12/13/2018,20.8,1874136
12/12/2018,21.82,1469183
12/11/2018,21.45,1389935
12/10/2018,21.35,1859488
12/7/2018,21.36,2816485
12/6/2018,21.21,6541454
12/4/2018,21.65,4762639
12/3/2018,22.66,5338965
11/30/2018,24,16720070
11/29/2018,26.23,5938920
11/28/2018,26,3692341
11/27/2018,24.1,4623460
11/26/2018,22.38,2582967
11/23/2018,21.53,2231826
11/21/2018,21.91,2437082
11/20/2018,21.31,3102457
11/19/2018,21.15,2848434
11/16/2018,23.57,2033287
11/15/2018,24.6,1965216
11/14/2018,23.18,2255876
11/13/2018,22.48,2420520
11/12/2018,22.31,4166717
11/9/2018,24.51,4960936
11/8/2018,25.44,6857164
11/7/2018,27.99,1528963
11/6/2018,27.88,1491073
11/5/2018,27.12,1517955
11/2/2018,27.17,2538270
11/1/2018,28.02,2702961
10/31/2018,26.99,2619127
10/30/2018,25.96,3883742
10/29/2018,25.42,5643188
10/26/2018,27.29,4869893
10/25/2018,29.26,5298558
10/24/2018,29.75,4434887
10/23/2018,30.9,3091101
10/22/2018,31.74,5218260
10/19/2018,29.9,4210241
10/18/2018,30.32,4709885
10/17/2018,31.27,4516736
10/16/2018,30.42,4963254
10/15/2018,27.69,1912082
10/12/2018,27.01,2210667
10/11/2018,26.46,3528324
10/10/2018,25.81,5470824
10/9/2018,28.99,2564444
10/8/2018,27.92,4700912
10/5/2018,26.95,2620617
10/4/2018,27.75,4534574
10/3/2018,29.66,5014625
10/2/2018,28.28,2899063
10/1/2018,28.13,1651738
9/28/2018,27.67,1449657
9/27/2018,27.59,5450587
9/26/2018,27.22,2761646
9/25/2018,28.29,1823528
9/24/2018,28.2,1414300
9/21/2018,28.68,1580523
9/20/2018,29.05,2888346
9/19/2018,28.42,2473528
9/18/2018,27.33,1864274
9/17/2018,26.79,1685628
9/14/2018,27.04,1104103
9/13/2018,27.24,2890818
9/12/2018,26.57,3288734
9/11/2018,26.39,1469981
9/10/2018,26.46,1340987
9/7/2018,26.57,2343673
9/6/2018,25.83,3111385
9/5/2018,26.75,2215803
9/4/2018,28.32,3014740
8/31/2018,28.89,12255487
8/30/2018,25.79,2469827
8/29/2018,26.78,1898190
8/28/2018,26.3,1111262
8/27/2018,26.42,1043081
8/24/2018,25.85,1906728
8/23/2018,25.07,1598530
8/22/2018,25.25,2011909
8/21/2018,25.09,2634976
8/20/2018,25.89,2025276
8/17/2018,26.76,2681244
8/16/2018,26.79,2249458
8/15/2018,26.42,2814695
8/14/2018,28.31,1255331
8/13/2018,27.99,1901308
8/10/2018,28.39,2765392
8/9/2018,28.59,2525724
8/8/2018,27.2,2597885
8/7/2018,26.96,1947612
8/6/2018,27.61,1554623
8/3/2018,27.56,2660376
8/2/2018,26.35,6665944
8/1/2018,26.44,3710065
7/31/2018,26.92,9768619
7/30/2018,28.61,4461339
7/27/2018,28.81,3348822
7/26/2018,29.51,3175807
7/25/2018,29.08,4367774
7/24/2018,27.85,3270470
7/23/2018,27.75,3519150
7/20/2018,26.85,5855094
7/19/2018,25.5,3729552
7/18/2018,26.78,3533396
7/17/2018,26.3,5396546
7/16/2018,27,3209032
7/13/2018,27.3,6342221
7/12/2018,26.35,7784808
7/11/2018,26.91,2188800
7/10/2018,27.43,2091254
7/9/2018,27.98,2506242
7/6/2018,27.87,1475999
7/5/2018,27.8,2339223
7/3/2018,26.91,977914
7/2/2018,27.13,4372361
6/29/2018,27.75,2537445
6/28/2018,27.82,4481262
6/27/2018,27.15,6462517
