Date,PX_LAST,PX_VOLUME
12/31/2018,71.58408,618366
12/28/2018,70.79296,2042197
12/27/2018,70.00214,1989782
12/26/2018,71.88109,2632600
12/24/2018,68.9056,2042836
12/21/2018,68.06059,3319840
12/20/2018,71.23088,5296064
12/19/2018,74.98899,1410588
12/18/2018,77.91495,2283394
12/17/2018,76.22832,2384453
12/14/2018,81.25158,2063431
12/13/2018,80.74976,1874136
12/12/2018,83.95245,1469183
12/11/2018,83.89739,1389935
12/10/2018,83.83078,1859488
12/7/2018,82.82767,2816485
12/6/2018,82.48781,6541454
12/4/2018,83.41961,4762639
12/3/2018,86.61105,5338965
11/30/2018,92.8272,16720070
11/29/2018,101.25567,5938920
11/28/2018,99.9908,3692341
11/27/2018,93.84781,4623460
11/26/2018,87.4879,2582967
11/23/2018,82.1714,2231826
11/21/2018,82.94031,2437082
11/20/2018,80.07019,3102457
11/19/2018,79.61706,2848434
11/16/2018,88.22487,2033287
11/15/2018,93.09624,1965216
11/14/2018,87.92406,2255876
11/13/2018,85.77019,2420520
11/12/2018,83.65581,4166717
11/9/2018,91.69191,4960936
11/8/2018,95.6773,6857164
11/7/2018,104.83934,1528963
11/6/2018,104.49703,1491073
11/5/2018,100.87826,1517955
11/2/2018,100.43934,2538270
11/1/2018,103.34617,2702961
10/31/2018,100.6781,2619127
10/30/2018,96.54524,3883742
10/29/2018,93.73117,5643188
10/26/2018,100.24709,4869893
10/25/2018,107.98403,5298558
10/24/2018,110.81875,4434887
10/23/2018,114.44742,3091101
10/22/2018,116.78733,5218260
10/19/2018,111.0785,4210241
10/18/2018,112.24161,4709885
10/17/2018,114.77028,4516736
10/16/2018,112.95554,4963254
10/15/2018,103.09818,1912082
10/12/2018,102.17613,2210667
10/11/2018,99.50548,3528324
10/10/2018,97.01979,5470824
10/9/2018,107.95876,2564444
10/8/2018,104.9792,4700912
10/5/2018,104.49324,2620617
10/4/2018,109.01865,4534574
10/3/2018,115.27952,5014625
10/2/2018,110.8576,2899063
10/1/2018,112.96164,1651738
9/28/2018,111.2749,1449657
9/27/2018,110.21929,5450587
9/26/2018,110.2165,2761646
9/25/2018,116.47276,1823528
9/24/2018,114.95448,1414300
9/21/2018,115.87867,1580523
9/20/2018,118.73026,2888346
9/19/2018,116.75789,2473528
9/18/2018,113.07514,1864274
9/17/2018,111.48659,1685628
9/14/2018,112.96771,1104103
9/13/2018,113.84141,2890818
9/12/2018,109.61188,3288734
9/11/2018,109.69004,1469981
9/10/2018,108.8485,1340987
9/7/2018,108.43483,2343673
9/6/2018,107.08343,3111385
9/5/2018,110.4454,2215803
9/4/2018,118.04342,3014740
8/31/2018,118.2641,12255487
8/30/2018,106.90987,2469827
8/29/2018,110.43804,1898190
8/28/2018,108.40071,1111262
8/27/2018,107.72227,1043081
8/24/2018,106.22024,1906728
8/23/2018,102.97503,1598530
8/22/2018,102.89123,2011909
8/21/2018,100.07899,2634976
8/20/2018,102.26032,2025276
8/17/2018,105.36215,2681244
8/16/2018,104.40331,2249458
8/15/2018,102.76323,2814695
8/14/2018,110.25046,1255331
8/13/2018,109.77118,1901308
8/10/2018,109.47752,2765392
8/9/2018,109.03082,2525724
8/8/2018,102.06528,2597885
8/7/2018,100.25346,1947612
8/6/2018,102.81964,1554623
8/3/2018,102.09326,2660376
8/2/2018,98.95216,6665944
8/1/2018,99.11298,3710065
7/31/2018,100.90154,9768619
7/30/2018,106.65522,4461339
7/27/2018,107.23082,3348822
7/26/2018,110.05164,3175807
7/25/2018,107.90134,4367774
7/24/2018,104.19521,3270470
7/23/2018,105.22523,3519150
7/20/2018,101.46347,5855094
7/19/2018,98.93745,3729552
7/18/2018,102.47903,3533396
7/17/2018,101.64424,5396546
7/16/2018,104.2011,3209032
7/13/2018,105.47628,6342221
7/12/2018,101.84275,7784808
7/11/2018,104.10941,2188800
7/10/2018,104.71402,2091254
7/9/2018,108.29659,2506242
7/6/2018,108.72923,1475999
7/5/2018,108.97322,2339223
7/3/2018,104.77409,977914
7/2/2018,106.23565,4372361
6/29/2018,107.20935,2537445
6/28/2018,107.31287,4481262
6/27/2018,104.66597,6462517
6/26/2018,111.00558,7723006
6/25/2018,111.94277,7865795
6/22/2018,114.58944,19699985
6/21/2018,111.66036,6912412
6/20/2018,106.76343,6097399
6/19/2018,102.49792,17978530
6/18/2018,120.26265,2674743
6/15/2018,124.81571,1957455
6/14/2018,124.57199,5275996
6/13/2018,118.17106,4132615
6/12/2018,115.61907,2244261
6/11/2018,117.54988,2894170
6/8/2018,115.61655,3244404
6/7/2018,117.39178,8009552
6/6/2018,127.12637,2969533
6/5/2018,124.15819,3067464
6/4/2018,127.74518,1778735
6/1/2018,129.66825,2618693
5/31/2018,124.06383,3782010
5/30/2018,125.64634,9001456
5/29/2018,118.9177,4316837
5/25/2018,129.60294,3672770
5/24/2018,127.48036,2158646
5/23/2018,124.50756,1366266
5/22/2018,117.85996,881126
5/21/2018,118.67138,1959378
5/18/2018,120.27655,1735448
5/17/2018,121.9553,1317674
5/16/2018,119.79702,1042560
5/15/2018,117.74688,1446326
5/14/2018,118.42504,1161129
5/11/2018,116.19762,877237
5/10/2018,112.60082,638037
5/9/2018,115.17274,931304
5/8/2018,112.86487,1391667
5/7/2018,113.82018,1534225
5/4/2018,109.8992,1726697
5/3/2018,112.08851,1995144
5/2/2018,117.13158,2755541
5/1/2018,120.61261,1049745
4/30/2018,115.80987,2347486
4/27/2018,113.21714,1419741
4/26/2018,118.23467,1508654
4/25/2018,114.11524,2460929
4/24/2018,117.39508,4967016
4/23/2018,122.95896,1091318
4/20/2018,125.23196,1443400
4/19/2018,126.62935,1761120
4/18/2018,126.41431,1795509
4/17/2018,126.52497,2276474
4/16/2018,118.46477,1860506
4/13/2018,117.46725,2469167
4/12/2018,117.84324,1322001
4/11/2018,118.98656,1163101
4/10/2018,120.53983,1815807
4/9/2018,119.86639,2045628
