Date,PX_LAST,PX_VOLUME
12/31/2018,35.42104,520799
12/28/2018,35.11815,1736675
12/27/2018,34.6568,2716370
12/24/2018,34.65788,612091
12/21/2018,35.05749,5176626
12/20/2018,35.35674,3484844
12/19/2018,36.41148,2732521
12/18/2018,35.93736,3983777
12/17/2018,35.96564,3263198
12/14/2018,36.70565,2485766
12/13/2018,37.3986,2721633
12/12/2018,37.57823,2712436
12/11/2018,36.21514,2781543
12/10/2018,36.18728,2780502
12/7/2018,36.6919,3174448
12/6/2018,36.53519,4188640
12/5/2018,37.4777,2063263
12/4/2018,38.30531,3489504
12/3/2018,38.15743,2944592
11/30/2018,37.61672,5150242
11/29/2018,37.41717,3830219
11/28/2018,36.74322,4536810
11/27/2018,37.37592,2796512
11/26/2018,37.63414,2819724
11/23/2018,37.8589,2737047
11/22/2018,38.00005,3056777
11/21/2018,37.29911,3006513
11/20/2018,36.46577,3530732
11/19/2018,37.48485,2771984
11/16/2018,37.67101,3572729
11/15/2018,37.37345,2430040
11/14/2018,37.66216,2977433
11/13/2018,37.95947,2293356
11/12/2018,37.65951,2525191
11/9/2018,38.08119,2303059
11/8/2018,38.42289,3392242
11/7/2018,39.29859,4157683
11/6/2018,38.11037,3445451
11/5/2018,38.15616,3507612
11/2/2018,38.36071,4710202
11/1/2018,38.08992,3594361
10/31/2018,37.21935,4882587
10/30/2018,36.22601,4854252
10/29/2018,36.46438,3806001
10/26/2018,36.4729,5257158
10/25/2018,36.29942,4424515
10/24/2018,35.68857,6386966
10/23/2018,36.0707,7167846
10/22/2018,36.3854,11550044
10/19/2018,40.02624,6151625
10/18/2018,40.78296,3304911
10/17/2018,41.32212,3381892
10/16/2018,41.30409,3016160
10/15/2018,40.38762,3036343
10/12/2018,40.70176,3126039
10/11/2018,40.64561,3696080
10/10/2018,41.28654,3364057
10/9/2018,41.78146,2435387
10/8/2018,41.71832,2496482
10/5/2018,42.58083,2544732
10/4/2018,43.05372,2904417
10/3/2018,44.22911,2453029
10/2/2018,44.15947,3914727
10/1/2018,45.90001,1905983
9/28/2018,45.56753,2717235
9/27/2018,46.36516,1976203
9/26/2018,46.64369,2297800
9/25/2018,46.54456,1610926
9/24/2018,45.70114,1948894
9/21/2018,45.91122,5107263
9/20/2018,46.20894,2128865
9/19/2018,45.57538,1915937
