Date,PX_LAST,PX_VOLUME
12/31/2018,30.93,520799
12/28/2018,30.695,1736675
12/27/2018,30.305,2716370
12/24/2018,30.375,612091
12/21/2018,30.79,5176626
12/20/2018,30.855,3484844
12/19/2018,31.87,2732521
12/18/2018,31.635,3983777
12/17/2018,31.685,3263198
12/14/2018,32.48,2485766
12/13/2018,32.93,2721633
12/12/2018,33.03,2712436
12/11/2018,31.995,2781543
12/10/2018,31.855,2780502
12/7/2018,32.2,3174448
12/6/2018,32.085,4188640
12/5/2018,33.02,2063263
12/4/2018,33.77,3489504
12/3/2018,33.61,2944592
11/30/2018,33.245,5150242
11/29/2018,32.9,3830219
11/28/2018,32.39,4536810
11/27/2018,33.12,2796512
11/26/2018,33.19,2819724
11/23/2018,33.4,2737047
11/22/2018,33.31,3056777
11/21/2018,32.73,3006513
11/20/2018,32.055,3530732
11/19/2018,32.715,2771984
11/16/2018,33.01,3572729
11/15/2018,33.03,2430040
11/14/2018,33.35,2977433
11/13/2018,33.655,2293356
11/12/2018,33.49,2525191
11/9/2018,33.605,2303059
11/8/2018,33.725,3392242
11/7/2018,34.28,4157683
11/6/2018,33.395,3445451
11/5/2018,33.485,3507612
11/2/2018,33.7,4710202
11/1/2018,33.38,3594361
10/31/2018,32.92,4882587
10/30/2018,31.92,4854252
10/29/2018,32.02,3806001
10/26/2018,32.005,5257158
10/25/2018,31.92,4424515
10/24/2018,31.325,6386966
10/23/2018,31.415,7167846
10/22/2018,31.725,11550044
10/19/2018,34.745,6151625
10/18/2018,35.55,3304911
10/17/2018,35.845,3381892
10/16/2018,35.65,3016160
10/15/2018,34.865,3036343
10/12/2018,35.2,3126039
10/11/2018,35.115,3696080
10/10/2018,35.78,3364057
10/9/2018,36.395,2435387
10/8/2018,36.34,2496482
10/5/2018,36.985,2544732
10/4/2018,37.425,2904417
10/3/2018,38.41,2453029
10/2/2018,38.23,3914727
10/1/2018,39.675,1905983
9/28/2018,39.235,2717235
9/27/2018,39.72,1976203
9/26/2018,39.69,2297800
9/25/2018,39.535,1610926
9/24/2018,38.845,1948894
9/21/2018,39.1,5107263
9/20/2018,39.3,2128865
9/19/2018,39.01,1915937
9/18/2018,38.955,1865227
9/17/2018,38.995,2707876
9/14/2018,39.34,1874959
9/13/2018,39.3,2854497
9/12/2018,39.02,2201958
9/11/2018,38.25,1969819
9/10/2018,37.93,1802316
9/7/2018,37.74,2844833
9/6/2018,37.145,2153990
9/5/2018,37.255,2318860
9/4/2018,37.98,1943313
9/3/2018,38.345,1026995
8/31/2018,38.49,2342108
8/30/2018,38.995,1860525
8/29/2018,39.025,2400347
8/28/2018,38.635,2437644
8/27/2018,38.235,1223136
8/24/2018,37.96,1265225
8/23/2018,37.93,2081385
8/22/2018,37.675,1751079
8/21/2018,37.265,2061510
8/20/2018,37.42,1054728
8/17/2018,37.395,1781960
8/16/2018,37.305,2015780
8/15/2018,36.92,2647874
8/14/2018,37.645,1933238
8/13/2018,37.505,1930032
8/10/2018,37.74,2341608
8/9/2018,38.13,1188687
8/8/2018,38.225,1407783
8/7/2018,38.325,2047458
8/6/2018,38,1634378
8/3/2018,37.785,2362281
8/2/2018,37.685,2221262
8/1/2018,37.55,2578548
7/31/2018,37.54,2609092
7/30/2018,37.6,2350323
7/27/2018,38.135,2995030
7/26/2018,38.235,4464966
7/25/2018,37.1,2989833
7/24/2018,36.705,3146740
7/23/2018,36.02,4934005
7/20/2018,36.675,4270130
7/19/2018,37.045,2491567
7/18/2018,37.46,2574273
7/17/2018,37.3,2170896
7/16/2018,37.21,1863526
7/13/2018,37.42,2679536
7/12/2018,37.14,2525368
7/11/2018,36.895,3272330
7/10/2018,37.4,2002721
7/9/2018,37.28,2234006
7/6/2018,37.015,2908365
7/5/2018,36.695,2534854
7/4/2018,36.645,2029437
7/3/2018,37,2822740
7/2/2018,36.28,2601475
6/29/2018,36.425,4054336
6/28/2018,35.72,2916510
6/27/2018,36.12,3820085
6/26/2018,35.79,2957345
6/25/2018,35.365,2670739
6/22/2018,36.195,2562056
6/21/2018,35.935,2788253
6/20/2018,36.05,2981371
6/19/2018,35.79,3368953
6/18/2018,36.305,2453355
6/15/2018,36.43,4253549
6/14/2018,36.955,4181744
6/13/2018,36.495,2481863
6/12/2018,36.435,2146677
6/11/2018,36.48,2514105
6/8/2018,36.005,2530692
6/7/2018,36.145,2058778
6/6/2018,36.26,2820587
6/5/2018,36.035,3647651
6/4/2018,36.195,2491944
6/1/2018,35.475,3698058
5/31/2018,35.02,6630054
5/30/2018,35.685,2908968
5/29/2018,35.66,3229465
5/28/2018,35.835,1386511
5/25/2018,36.33,2738304
