FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-247.00,, N.A. ,1,105.06,105.06,12/29/2017,Bloomberg,,,,100,100,100,100,,,105.41, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1,Position 1,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"4,750.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,200,200,200,200,,,1, -   , -   ,,BANK OF NEWYORK,,,Position 2,Position 2,USD,Indeterminate,BANK OF NEWYORK,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"20,691.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,300,300,300,300,,,1, -   , -   ,,CITIGROUP,,,Position 3,Position 3,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,-547.00,, N.A. ,1.2,13.16,15.8,12/29/2017,Bloomberg,,,,400,400,400,400,,,16.24, -   , -   ,,CITIGROUP,,,Position 4,Position 4,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,12.00,, N.A. ,1,0.29,0.29,12/29/2017,Bloomberg,,,,500,500,500,500,,,59.32, -   , -   ,,GOLDMAN SACHS,,,Position 5,Position 5,USD,Indeterminate,Goldman Sachs,,,,43109.33611,OTC Derivative Contracts,OTC Equity Option,OTC Equity Option - Single Name,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-16.00,, Interest Payable - Swaps ,1,1,1,12/29/2017,Bloomberg,,,,600,600,600,600,,,1, -   , -   ,,CREDIT SUISSE,,,Position 6,Position 6,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,597.00,, N.A. ,1,114.34,114.34,12/29/2017,Bloomberg,,,,700,700,700,700,,,83.45, -   , -   ,,MORGAN STANLEY,,,Position 7,Position 7,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,800,800,800,800,,,1, -   , -   ,,CITI HCO_,,,Position 8,Position 8,USD,Indeterminate,Citi HCo_,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,AUD       ,0,, Cash ,0.78,0.78,0.78,12/29/2017,Bloomberg,,,,900,900,900,900,,,1.02, -   , -   ,,CREDIT SUISSE,,,Position 9,Position 9,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-502.00,, N.A. ,1,29.9,29.9,12/29/2017,Bloomberg,,,,1000,1000,1000,1000,,,25.34, -   , -   ,,MORGAN STANLEY,,,Position 10,Position 10,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-52.00,, N.A. ,1,28.84,28.84,12/29/2017,Bloomberg,,,,1100,1100,1100,1100,,,26.21, -   , -   ,,CREDIT SUISSE,,,Position 11,Position 11,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,537.00,, N.A. ,1,57.55,57.55,12/29/2017,Bloomberg,,,,1200,1200,1200,1200,,,60.01, -   , -   ,,MORGAN STANLEY,,,Position 12,Position 12,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-1,, N.A. ,1,40.05,40.05,12/29/2017,Bloomberg,,,,1300,1300,1300,1300,,,521.75, -   , -   ,,CREDIT SUISSE,,,Position 13,Position 13,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,JPY       ,0,, Cash ,0.01,0.01,0.01,12/29/2017,Bloomberg,,,,1400,1400,1400,1400,,,0.01, -   , -   ,,MORGAN STANLEY,,,Position 14,Position 14,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-42.00,, N.A. ,1,82.5,82.5,12/29/2017,Bloomberg,,,,1500,1500,1500,1500,,,82.17, -   , -   ,,_WELLS_FARGO_CASH,,,Position 15,Position 15,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,5,, Accrued Audit and Tax Fees Payable ,1,1,1,12/29/2017,Bloomberg,,,,1600,1600,1600,1600,,,1, -   , -   ,,_CITIBANK SFSST,,,Position 16,Position 16,USD,Indeterminate,_Citibank SFSST,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,82.00,, N.A. ,1,0.43,0.43,12/29/2017,Bloomberg,,,,1700,1700,1700,1700,,,1, -   , -   ,,OTHER,,,Position 17,Position 17,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-25.00,, N.A. ,1,74,74,12/29/2017,Bloomberg,,,,1800,1800,1800,1800,,,53.58, -   , -   ,,CITIGROUP,,,Position 18,Position 18,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,21.00,, N.A. ,1,14.61,14.61,12/29/2017,Bloomberg,,,,1900,1900,1900,1900,,,15.84, -   , -   ,,CREDIT SUISSE,,,Position 19,Position 19,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,129.00,, N.A. ,1,0.64,0.64,12/29/2017,Bloomberg,,,,2000,2000,2000,2000,,,0.45, -   , -   ,,OTHER,,,Position 20,Position 20,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-9,, DividendWithholdingTaxPayable ,1,1,1,12/29/2017,Bloomberg,,,,2100,2100,2100,2100,,,1, -   , -   ,,CREDIT SUISSE,,,Position 21,Position 21,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,59.00,, N.A. ,1,"1,046.40","1,046.40",12/29/2017,Bloomberg,,,,2200,2200,2200,2200,,,930.31, -   , -   ,,MORGAN STANLEY,,,Position 22,Position 22,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,17.00,, N.A. ,1.2,0.45,0.54,12/29/2017,Bloomberg,,,,2300,2300,2300,2300,,,1.23, -   , -   ,,JPM,,,Position 23,Position 23,USD,Indeterminate,JP Morgan Chase,,,,43109.33611,OTC Derivative Contracts,OTC Equity Option,OTC Equity Option - Index,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,246.00,, N.A. ,1,31.99,31.99,12/29/2017,Bloomberg,,,,2400,2400,2400,2400,,,32.3, -   , -   ,,MORGAN STANLEY,,,Position 24,Position 24,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,69.00,, N.A. ,1,16.59,16.59,12/29/2017,Bloomberg,,,,2500,2500,2500,2500,,,11.77, -   , -   ,,OTHER,,,Position 25,Position 25,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,CAD       ,-15.00,, N.A. ,0.8,8.41,6.69,12/29/2017,Bloomberg,,,,2600,2600,2600,2600,,,762.21, -   , -   ,,CITIGROUP,,,Position 26,Position 26,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"5,818.00",, SpotFxReceivable ,1,1,1,12/29/2017,Bloomberg,,,,2700,2700,2700,2700,,,1, -   , -   ,,MORGAN STANLEY,,,Position 27,Position 27,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,417.00,, N.A. ,1,0.54,0.54,12/29/2017,Bloomberg,,,,2800,2800,2800,2800,,,0.8, -   , -   ,,OTHER,,,Position 28,Position 28,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
